,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,0.6567162557668096,0.00035685856944849665,1840.2703815736438,0.0,0.6560168241487147,0.6574156873849045
sentiment_score,-0.06223336605638151,0.0007106238822757561,-87.57567485218851,0.0,-0.06362616660648511,-0.06084056550627791
text_length,-0.003112120907311032,3.102764657569209e-06,-1003.0154558190544,0.0,-0.003118202228850726,-0.0031060395857713382
