,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,9.248802207159006,0.008883866617656503,1041.0784633773317,0.0,9.231390148544941,9.26621426577307
sentiment_intensity,0.16523115283375553,0.023099642057214324,7.152974596944096,8.49173239880688e-13,0.11995668634584873,0.21050561932166234
text_length,-0.025748168737972987,0.0001213874010772906,-212.11566035241532,0.0,-0.025986083672261396,-0.025510253803684577
