,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.6567162557668096,0.000508943318543328,1290.3524456248485,0.0,0.6557187451922923,0.6577137663413268
sentiment_score,-0.06223336605638151,0.0007976484800283216,-78.02104262039316,0.0,-0.06379672834956014,-0.06067000376320288
text_length,-0.003112120907311032,1.3961078054939732e-05,-222.91408264205617,0.0,-0.0031394841174840664,-0.003084757697137998
